num_est,file_num,law_name,link
18,0092,Ley Orgánica de la Comisión de Defensa de los Derechos Humanos para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-organica-de-la-comision-de-defensa-de-los-derechos-humanos-para-el-estado-de-nayarit/
18,0093,Ley Orgánica de la Escuela Normal Superior de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-organica-de-la-escuela-normal-superior-del-estado-de-nayarit/
18,0094,Ley Orgánica de la Fiscalía General del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-organica-de-la-fiscalia-general-del-estado-de-nayarit/
18,0095,Ley Orgánica de la Universidad Autónoma de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-organica-de-la-universidad-autonoma-de-nayarit/
18,0096,Ley Orgánica del Centro de Conciliación Laboral del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-organica-del-centro-de-conciliacion-laboral-del-estado-de-nayarit/
18,0097,Ley Orgánica del Poder Ejecutivo del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-organica-del-poder-ejecutivo-del-estado-de-nayarit/
18,0098,Ley Orgánica del Poder Judicial para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-organica-del-poder-judicial-del-estado-de-nayarit/
18,0099,Ley Orgánica del Tribunal de Justicia Administrativa de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-organica-del-tribunal-de-justicia-administrativa-de-nayarit/
18,0100,Ley para el Desarrollo Agrícola Sustentable del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-el-desarrollo-agricola-sustentable-del-estado-de-nayarit/
18,0101,Ley para el Desarrollo Social del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-el-desarrollo-social-del-estado-de-nayarit/
18,0102,Ley para el Ejercicio de las Profesiones y Actividades Técnicas en el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-el-ejercicio-de-profesiones-y-actividades-tecnicas-en-el-estado-de-nayarit/
18,0103,Ley para Evaluar el Desempeño de Servidores Públicos del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-evaluar-el-desempeno-de-servidores-publicos-del-estado-de-nayarit/
18,0104,Ley para Fomentar la Donación Altruista de Artículos de Primera Necesidad del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-fomentar-la-donacion-altruista-de-articulos-de-primera-necesidad-del-estado-de-nayarit/
18,0105,"Ley para la Administración de Bienes Asegurados, Decomisados o Abandonados para el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-administracion-de-bienes-asegurados-decomisados-o-abandonados-para-el-estado-de-nayarit/
18,0106,Ley para la Atención y Protección a Personas con la Condición del Espectro Autista del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-atencion-y-proteccion-a-personas-con-la-condicion-del-espectro-autista-del-estado-de-nayarit/
18,0107,Ley para la Competitividad y el Empleo del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-competitividad-y-el-empleo-del-estado-de-nayarit/
18,0108,"Ley para la Creación, Fomento y Protección de Nuevos Conjuntos, Parques y Ciudades Industriales en el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-creacion-fomento-y-proteccion-de-nuevos-conjuntos-parques-y-ciudades-industriales-en-el-estado-de-nayarit/
18,0109,Ley para la Juventud del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-para-la-juventud-del-estado-de-nayarit/
